true_label,predicted_label,true_model,predicted_model,count,mean_true_label_utility,mean_predicted_label_utility,mean_regret,predictor
0,0,Intern-S1-mini,Intern-S1-mini,2,1.0,1.0,0.0,embedding_centroid_assignment
0,3,Intern-S1-mini,DeepSeek-R1-Distill-Qwen-7B,4,1.0,0.0,1.0,embedding_centroid_assignment
0,5,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
0,7,Intern-S1-mini,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
0,9,Intern-S1-mini,Llama-3.1-8B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
0,10,Intern-S1-mini,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
0,11,Intern-S1-mini,MiniCPM4.1-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
0,12,Intern-S1-mini,Llama-3.1-8B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
0,14,Intern-S1-mini,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
0,15,Intern-S1-mini,Qwen3-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
1,0,Intern-S1-mini,Intern-S1-mini,5,1.0,1.0,0.0,embedding_centroid_assignment
1,1,Intern-S1-mini,Intern-S1-mini,23,1.0,1.0,0.0,embedding_centroid_assignment
1,2,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
1,3,Intern-S1-mini,DeepSeek-R1-Distill-Qwen-7B,14,1.0,1.0,0.0,embedding_centroid_assignment
1,5,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,2,1.0,1.0,0.0,embedding_centroid_assignment
1,6,Intern-S1-mini,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
1,8,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,5,1.0,1.0,0.0,embedding_centroid_assignment
1,9,Intern-S1-mini,Llama-3.1-8B-Instruct,17,1.0,1.0,0.0,embedding_centroid_assignment
1,10,Intern-S1-mini,MiniCPM4.1-8B,4,1.0,1.0,0.0,embedding_centroid_assignment
1,11,Intern-S1-mini,MiniCPM4.1-8B,22,1.0,1.0,0.0,embedding_centroid_assignment
1,12,Intern-S1-mini,Llama-3.1-8B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
1,13,Intern-S1-mini,MiniCPM4.1-8B,2,1.0,1.0,0.0,embedding_centroid_assignment
1,14,Intern-S1-mini,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
1,15,Intern-S1-mini,Qwen3-8B,15,1.0,1.0,0.0,embedding_centroid_assignment
2,3,Qwen2.5-Coder-7B-Instruct,DeepSeek-R1-Distill-Qwen-7B,1,1.0,0.0,1.0,embedding_centroid_assignment
2,5,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
2,7,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
2,9,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,8,1.0,0.0,1.0,embedding_centroid_assignment
2,10,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
2,11,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
2,13,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
2,14,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
2,15,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
3,0,DeepSeek-R1-Distill-Qwen-7B,Intern-S1-mini,2,1.0,1.0,0.0,embedding_centroid_assignment
3,1,DeepSeek-R1-Distill-Qwen-7B,Intern-S1-mini,2,1.0,1.0,0.0,embedding_centroid_assignment
3,3,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,11,1.0,1.0,0.0,embedding_centroid_assignment
3,6,DeepSeek-R1-Distill-Qwen-7B,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
3,7,DeepSeek-R1-Distill-Qwen-7B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
3,8,DeepSeek-R1-Distill-Qwen-7B,Qwen2.5-Coder-7B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
3,9,DeepSeek-R1-Distill-Qwen-7B,Llama-3.1-8B-Instruct,3,1.0,0.0,1.0,embedding_centroid_assignment
3,11,DeepSeek-R1-Distill-Qwen-7B,MiniCPM4.1-8B,7,1.0,0.8571428571428571,0.14285714285714285,embedding_centroid_assignment
3,14,DeepSeek-R1-Distill-Qwen-7B,Qwen3-8B,2,1.0,0.5,0.5,embedding_centroid_assignment
3,15,DeepSeek-R1-Distill-Qwen-7B,Qwen3-8B,10,1.0,1.0,0.0,embedding_centroid_assignment
4,0,Qwen3-8B,Intern-S1-mini,1,1.0,1.0,0.0,embedding_centroid_assignment
4,3,Qwen3-8B,DeepSeek-R1-Distill-Qwen-7B,1,1.0,0.0,1.0,embedding_centroid_assignment
4,7,Qwen3-8B,Qwen3-8B,2,1.0,1.0,0.0,embedding_centroid_assignment
4,9,Qwen3-8B,Llama-3.1-8B-Instruct,5,1.0,0.0,1.0,embedding_centroid_assignment
4,10,Qwen3-8B,MiniCPM4.1-8B,4,1.0,0.0,1.0,embedding_centroid_assignment
4,11,Qwen3-8B,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
4,13,Qwen3-8B,MiniCPM4.1-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
4,14,Qwen3-8B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
4,15,Qwen3-8B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
5,1,Qwen2.5-Coder-7B-Instruct,Intern-S1-mini,1,1.0,1.0,0.0,embedding_centroid_assignment
5,3,Qwen2.5-Coder-7B-Instruct,DeepSeek-R1-Distill-Qwen-7B,1,1.0,0.0,1.0,embedding_centroid_assignment
5,5,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,2,1.0,1.0,0.0,embedding_centroid_assignment
5,7,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,4,1.0,0.0,1.0,embedding_centroid_assignment
5,9,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,8,1.0,1.0,0.0,embedding_centroid_assignment
5,10,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,3,1.0,0.0,1.0,embedding_centroid_assignment
5,12,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
5,13,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
5,14,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
5,15,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
6,0,MiniCPM4.1-8B,Intern-S1-mini,10,0.2,0.0,0.2,embedding_centroid_assignment
6,1,MiniCPM4.1-8B,Intern-S1-mini,4,0.25,0.0,0.25,embedding_centroid_assignment
6,2,MiniCPM4.1-8B,Qwen2.5-Coder-7B-Instruct,4,0.0,0.0,0.0,embedding_centroid_assignment
6,3,MiniCPM4.1-8B,DeepSeek-R1-Distill-Qwen-7B,3,0.3333333333333333,0.0,0.3333333333333333,embedding_centroid_assignment
6,4,MiniCPM4.1-8B,Qwen3-8B,5,0.0,0.0,0.0,embedding_centroid_assignment
6,5,MiniCPM4.1-8B,Qwen2.5-Coder-7B-Instruct,1,0.0,0.0,0.0,embedding_centroid_assignment
6,7,MiniCPM4.1-8B,Qwen3-8B,1,0.0,0.0,0.0,embedding_centroid_assignment
6,9,MiniCPM4.1-8B,Llama-3.1-8B-Instruct,12,0.08333333333333333,0.0,0.08333333333333333,embedding_centroid_assignment
6,10,MiniCPM4.1-8B,MiniCPM4.1-8B,2,0.0,0.0,0.0,embedding_centroid_assignment
6,11,MiniCPM4.1-8B,MiniCPM4.1-8B,17,0.23529411764705882,0.23529411764705882,0.0,embedding_centroid_assignment
6,12,MiniCPM4.1-8B,Llama-3.1-8B-Instruct,3,0.3333333333333333,0.0,0.3333333333333333,embedding_centroid_assignment
6,13,MiniCPM4.1-8B,MiniCPM4.1-8B,4,0.25,0.25,0.0,embedding_centroid_assignment
6,14,MiniCPM4.1-8B,Qwen3-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
6,15,MiniCPM4.1-8B,Qwen3-8B,11,0.18181818181818182,0.0,0.18181818181818182,embedding_centroid_assignment
7,0,Qwen3-8B,Intern-S1-mini,2,1.0,0.5,0.5,embedding_centroid_assignment
7,2,Qwen3-8B,Qwen2.5-Coder-7B-Instruct,3,1.0,0.6666666666666666,0.3333333333333333,embedding_centroid_assignment
7,3,Qwen3-8B,DeepSeek-R1-Distill-Qwen-7B,1,1.0,0.0,1.0,embedding_centroid_assignment
7,7,Qwen3-8B,Qwen3-8B,4,1.0,1.0,0.0,embedding_centroid_assignment
7,8,Qwen3-8B,Qwen2.5-Coder-7B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
7,9,Qwen3-8B,Llama-3.1-8B-Instruct,11,1.0,1.0,0.0,embedding_centroid_assignment
7,10,Qwen3-8B,MiniCPM4.1-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
7,11,Qwen3-8B,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
7,14,Qwen3-8B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
7,15,Qwen3-8B,Qwen3-8B,3,1.0,1.0,0.0,embedding_centroid_assignment
8,0,Qwen2.5-Coder-7B-Instruct,Intern-S1-mini,3,1.0,0.6666666666666666,0.3333333333333333,embedding_centroid_assignment
8,1,Qwen2.5-Coder-7B-Instruct,Intern-S1-mini,6,1.0,1.0,0.0,embedding_centroid_assignment
8,2,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,2,1.0,1.0,0.0,embedding_centroid_assignment
8,3,Qwen2.5-Coder-7B-Instruct,DeepSeek-R1-Distill-Qwen-7B,8,1.0,1.0,0.0,embedding_centroid_assignment
8,4,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
8,5,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
8,6,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
8,8,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,2,1.0,1.0,0.0,embedding_centroid_assignment
8,9,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,6,1.0,0.0,1.0,embedding_centroid_assignment
8,10,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
8,11,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,14,1.0,0.9285714285714286,0.07142857142857142,embedding_centroid_assignment
8,14,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
8,15,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,14,1.0,0.9285714285714286,0.07142857142857142,embedding_centroid_assignment
9,1,Llama-3.1-8B-Instruct,Intern-S1-mini,2,1.0,1.0,0.0,embedding_centroid_assignment
9,2,Llama-3.1-8B-Instruct,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
9,3,Llama-3.1-8B-Instruct,DeepSeek-R1-Distill-Qwen-7B,1,1.0,1.0,0.0,embedding_centroid_assignment
9,5,Llama-3.1-8B-Instruct,Qwen2.5-Coder-7B-Instruct,2,1.0,1.0,0.0,embedding_centroid_assignment
9,7,Llama-3.1-8B-Instruct,Qwen3-8B,3,1.0,1.0,0.0,embedding_centroid_assignment
9,9,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,13,1.0,1.0,0.0,embedding_centroid_assignment
9,10,Llama-3.1-8B-Instruct,MiniCPM4.1-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
9,15,Llama-3.1-8B-Instruct,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
10,0,MiniCPM4.1-8B,Intern-S1-mini,1,1.0,0.0,1.0,embedding_centroid_assignment
10,1,MiniCPM4.1-8B,Intern-S1-mini,1,1.0,0.0,1.0,embedding_centroid_assignment
10,3,MiniCPM4.1-8B,DeepSeek-R1-Distill-Qwen-7B,2,1.0,1.0,0.0,embedding_centroid_assignment
10,7,MiniCPM4.1-8B,Qwen3-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
10,9,MiniCPM4.1-8B,Llama-3.1-8B-Instruct,17,1.0,0.9411764705882353,0.058823529411764705,embedding_centroid_assignment
10,10,MiniCPM4.1-8B,MiniCPM4.1-8B,7,1.0,1.0,0.0,embedding_centroid_assignment
10,11,MiniCPM4.1-8B,MiniCPM4.1-8B,4,1.0,1.0,0.0,embedding_centroid_assignment
10,14,MiniCPM4.1-8B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
10,15,MiniCPM4.1-8B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
11,1,MiniCPM4.1-8B,Intern-S1-mini,1,1.0,1.0,0.0,embedding_centroid_assignment
11,2,MiniCPM4.1-8B,Qwen2.5-Coder-7B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
11,3,MiniCPM4.1-8B,DeepSeek-R1-Distill-Qwen-7B,2,1.0,1.0,0.0,embedding_centroid_assignment
11,7,MiniCPM4.1-8B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
11,8,MiniCPM4.1-8B,Qwen2.5-Coder-7B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
11,11,MiniCPM4.1-8B,MiniCPM4.1-8B,6,1.0,1.0,0.0,embedding_centroid_assignment
11,13,MiniCPM4.1-8B,MiniCPM4.1-8B,2,1.0,1.0,0.0,embedding_centroid_assignment
11,15,MiniCPM4.1-8B,Qwen3-8B,4,1.0,1.0,0.0,embedding_centroid_assignment
12,0,Llama-3.1-8B-Instruct,Intern-S1-mini,1,1.0,0.0,1.0,embedding_centroid_assignment
12,3,Llama-3.1-8B-Instruct,DeepSeek-R1-Distill-Qwen-7B,1,1.0,1.0,0.0,embedding_centroid_assignment
12,5,Llama-3.1-8B-Instruct,Qwen2.5-Coder-7B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
12,9,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,5,1.0,1.0,0.0,embedding_centroid_assignment
12,13,Llama-3.1-8B-Instruct,MiniCPM4.1-8B,1,1.0,0.0,1.0,embedding_centroid_assignment
12,15,Llama-3.1-8B-Instruct,Qwen3-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
13,0,MiniCPM4.1-8B,Intern-S1-mini,6,1.0,0.6666666666666666,0.3333333333333333,embedding_centroid_assignment
13,1,MiniCPM4.1-8B,Intern-S1-mini,3,1.0,1.0,0.0,embedding_centroid_assignment
13,2,MiniCPM4.1-8B,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
13,3,MiniCPM4.1-8B,DeepSeek-R1-Distill-Qwen-7B,4,1.0,0.0,1.0,embedding_centroid_assignment
13,7,MiniCPM4.1-8B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
13,9,MiniCPM4.1-8B,Llama-3.1-8B-Instruct,1,1.0,1.0,0.0,embedding_centroid_assignment
13,10,MiniCPM4.1-8B,MiniCPM4.1-8B,3,1.0,1.0,0.0,embedding_centroid_assignment
13,11,MiniCPM4.1-8B,MiniCPM4.1-8B,8,1.0,1.0,0.0,embedding_centroid_assignment
13,13,MiniCPM4.1-8B,MiniCPM4.1-8B,5,1.0,1.0,0.0,embedding_centroid_assignment
13,14,MiniCPM4.1-8B,Qwen3-8B,2,1.0,0.5,0.5,embedding_centroid_assignment
13,15,MiniCPM4.1-8B,Qwen3-8B,5,1.0,0.8,0.2,embedding_centroid_assignment
14,0,Qwen3-8B,Intern-S1-mini,3,1.0,0.3333333333333333,0.6666666666666666,embedding_centroid_assignment
14,1,Qwen3-8B,Intern-S1-mini,1,1.0,0.0,1.0,embedding_centroid_assignment
14,3,Qwen3-8B,DeepSeek-R1-Distill-Qwen-7B,5,1.0,0.0,1.0,embedding_centroid_assignment
14,5,Qwen3-8B,Qwen2.5-Coder-7B-Instruct,3,1.0,0.0,1.0,embedding_centroid_assignment
14,7,Qwen3-8B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
14,8,Qwen3-8B,Qwen2.5-Coder-7B-Instruct,1,1.0,0.0,1.0,embedding_centroid_assignment
14,9,Qwen3-8B,Llama-3.1-8B-Instruct,5,1.0,0.0,1.0,embedding_centroid_assignment
14,10,Qwen3-8B,MiniCPM4.1-8B,2,1.0,0.0,1.0,embedding_centroid_assignment
14,11,Qwen3-8B,MiniCPM4.1-8B,9,1.0,0.2222222222222222,0.7777777777777778,embedding_centroid_assignment
14,15,Qwen3-8B,Qwen3-8B,3,1.0,1.0,0.0,embedding_centroid_assignment
15,0,Qwen3-8B,Intern-S1-mini,4,1.0,1.0,0.0,embedding_centroid_assignment
15,1,Qwen3-8B,Intern-S1-mini,2,1.0,1.0,0.0,embedding_centroid_assignment
15,3,Qwen3-8B,DeepSeek-R1-Distill-Qwen-7B,6,1.0,0.0,1.0,embedding_centroid_assignment
15,6,Qwen3-8B,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
15,7,Qwen3-8B,Qwen3-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
15,10,Qwen3-8B,MiniCPM4.1-8B,4,1.0,1.0,0.0,embedding_centroid_assignment
15,11,Qwen3-8B,MiniCPM4.1-8B,2,1.0,1.0,0.0,embedding_centroid_assignment
15,13,Qwen3-8B,MiniCPM4.1-8B,1,1.0,1.0,0.0,embedding_centroid_assignment
15,15,Qwen3-8B,Qwen3-8B,4,1.0,1.0,0.0,embedding_centroid_assignment
0,1,Intern-S1-mini,Intern-S1-mini,1,1.0,1.0,0.0,logistic_label_predictor
0,2,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,1,1.0,0.0,1.0,logistic_label_predictor
0,3,Intern-S1-mini,DeepSeek-R1-Distill-Qwen-7B,1,1.0,0.0,1.0,logistic_label_predictor
0,4,Intern-S1-mini,Qwen3-8B,1,1.0,0.0,1.0,logistic_label_predictor
0,5,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,logistic_label_predictor
0,6,Intern-S1-mini,MiniCPM4.1-8B,1,1.0,1.0,0.0,logistic_label_predictor
0,7,Intern-S1-mini,Qwen3-8B,2,1.0,0.0,1.0,logistic_label_predictor
0,9,Intern-S1-mini,Llama-3.1-8B-Instruct,1,1.0,0.0,1.0,logistic_label_predictor
0,12,Intern-S1-mini,Llama-3.1-8B-Instruct,1,1.0,0.0,1.0,logistic_label_predictor
0,13,Intern-S1-mini,MiniCPM4.1-8B,1,1.0,0.0,1.0,logistic_label_predictor
0,14,Intern-S1-mini,Qwen3-8B,2,1.0,0.0,1.0,logistic_label_predictor
0,15,Intern-S1-mini,Qwen3-8B,2,1.0,0.0,1.0,logistic_label_predictor
1,0,Intern-S1-mini,Intern-S1-mini,4,1.0,1.0,0.0,logistic_label_predictor
1,1,Intern-S1-mini,Intern-S1-mini,34,1.0,1.0,0.0,logistic_label_predictor
1,2,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,3,1.0,1.0,0.0,logistic_label_predictor
1,3,Intern-S1-mini,DeepSeek-R1-Distill-Qwen-7B,9,1.0,1.0,0.0,logistic_label_predictor
1,4,Intern-S1-mini,Qwen3-8B,4,1.0,1.0,0.0,logistic_label_predictor
1,6,Intern-S1-mini,MiniCPM4.1-8B,7,1.0,1.0,0.0,logistic_label_predictor
1,7,Intern-S1-mini,Qwen3-8B,3,1.0,1.0,0.0,logistic_label_predictor
1,8,Intern-S1-mini,Qwen2.5-Coder-7B-Instruct,12,1.0,1.0,0.0,logistic_label_predictor
1,9,Intern-S1-mini,Llama-3.1-8B-Instruct,8,1.0,1.0,0.0,logistic_label_predictor
1,10,Intern-S1-mini,MiniCPM4.1-8B,6,1.0,1.0,0.0,logistic_label_predictor
1,11,Intern-S1-mini,MiniCPM4.1-8B,6,1.0,1.0,0.0,logistic_label_predictor
1,12,Intern-S1-mini,Llama-3.1-8B-Instruct,6,1.0,1.0,0.0,logistic_label_predictor
1,13,Intern-S1-mini,MiniCPM4.1-8B,3,1.0,1.0,0.0,logistic_label_predictor
1,14,Intern-S1-mini,Qwen3-8B,3,1.0,1.0,0.0,logistic_label_predictor
1,15,Intern-S1-mini,Qwen3-8B,5,1.0,0.8,0.2,logistic_label_predictor
2,0,Qwen2.5-Coder-7B-Instruct,Intern-S1-mini,1,1.0,0.0,1.0,logistic_label_predictor
2,1,Qwen2.5-Coder-7B-Instruct,Intern-S1-mini,2,1.0,0.0,1.0,logistic_label_predictor
2,2,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,2,1.0,1.0,0.0,logistic_label_predictor
2,4,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,1,1.0,0.0,1.0,logistic_label_predictor
2,5,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,1,1.0,1.0,0.0,logistic_label_predictor
2,6,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,2,1.0,0.0,1.0,logistic_label_predictor
2,7,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,2,1.0,0.0,1.0,logistic_label_predictor
2,9,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,1,1.0,0.0,1.0,logistic_label_predictor
2,10,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,3,1.0,0.0,1.0,logistic_label_predictor
2,11,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,1,1.0,0.0,1.0,logistic_label_predictor
2,13,Qwen2.5-Coder-7B-Instruct,MiniCPM4.1-8B,2,1.0,0.0,1.0,logistic_label_predictor
3,0,DeepSeek-R1-Distill-Qwen-7B,Intern-S1-mini,3,1.0,1.0,0.0,logistic_label_predictor
3,1,DeepSeek-R1-Distill-Qwen-7B,Intern-S1-mini,3,1.0,1.0,0.0,logistic_label_predictor
3,2,DeepSeek-R1-Distill-Qwen-7B,Qwen2.5-Coder-7B-Instruct,1,1.0,0.0,1.0,logistic_label_predictor
3,3,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,8,1.0,1.0,0.0,logistic_label_predictor
3,5,DeepSeek-R1-Distill-Qwen-7B,Qwen2.5-Coder-7B-Instruct,1,1.0,0.0,1.0,logistic_label_predictor
3,6,DeepSeek-R1-Distill-Qwen-7B,MiniCPM4.1-8B,6,1.0,0.5,0.5,logistic_label_predictor
3,8,DeepSeek-R1-Distill-Qwen-7B,Qwen2.5-Coder-7B-Instruct,4,1.0,0.0,1.0,logistic_label_predictor
3,10,DeepSeek-R1-Distill-Qwen-7B,MiniCPM4.1-8B,3,1.0,1.0,0.0,logistic_label_predictor
3,11,DeepSeek-R1-Distill-Qwen-7B,MiniCPM4.1-8B,3,1.0,1.0,0.0,logistic_label_predictor
